 REP CMDT, CMDT Code, CMDT - Commodity
4800,481400,"WALL PAPER, NOS"
4800,481401,"COLORANTS FOR PLASTIC, IN PELLETS, NOS"
4800,481402,"COLORED PAPER, FOR CALENDAR, NOS"
4800,481403,"WALL PANEL, NOS"
4800,481600,"COPY PAPER, NOS"
4800,481700,"GREETING CARDS, NOS"
4800,481701,"STATIONERY, NOS"
4800,481702,"PRINTED MATTER, NOS:"
4800,481703,PRINTED MATERIAL
4800,481801,"ADULT DIAPERS, NOS"
4800,481802,"DISPOSABLE DIAPERS, NOS"
4800,481803,TOWELS AND WASHCLOTHS; NOS
4800,481804,"TOWELS, SHEETS, PILLOWCASES, BEDSPREADS, BLANKETS BED COVERINGS, NOS"
4800,481901,"DECORATIVE PAPER, NOS"
4800,481902,"CARTON BOXES, NOS"
4800,481903,"CARDBOARD CARTONS, KD, NOS"
4800,481904,"GIFT BOXES, EMPTY, NOS"
4800,481905,"BOXBOARDS, NOS: CLAY COATED, NOS"
4800,481906,"KD SHOE BOXES, NOS"
4800,481907,"KD CARTONS, NOS"
4800,481908,"FOOD CARTONS, NOS:"
4800,481909,"PACKAGING PAPER, SEMI-FINISHED ON REELS, NOS"
4800,482000,"GUEST BOOKS, NOS"
4800,482001,"PAPER BOARD FILE, NOS"
4800,482002,"DIARIES, NOS"
4800,482006,"FILE FOLDERS, NOS"
4800,482100,"PAPER LABEL, NOS"
4800,482101,"PAPERBOARD, FOR DISPLAY OF TOY AND NOVELTY GOODS, NOS"
4800,482103,"TAGS AND LABELS, PRINTED; NOS"
4800,482300,"PRINTING PAPER, NOS"
4800,482301,"COMPUTER PUNCH CARDS, NOS"
4800,482302,"PRINTING PAPER, IN ROLLS, NOS"
4800,482304,"CUPS AND LIDS, NOS"
4800,482305,"PRINTING PAPER, IN SHEETS, NOS"
4800,483201,"MEDIUM PAPER, IN ROLLS, NOS"
4800,483300,"PAPER, IN SHEETS, NOS"
4800,483301,"PAPER, UNCOATED, IN ROLLS, NOS"
4800,483302,"ART SUPPLIES, NOS"
4900,490000,"BOOKS AND PRINTED MATERIALS, PRODUCTS OF THE PRINTING INDUSTRY"
4900,490001,"RECORDING PAPER, NOS"
4900,490003,"PHOTOCOPY PAPER, NOS"
4900,490006,"POSTERS WITH OR WITHOUT FRAMES, NOS"
4900,490007,"WALL COVERINGS & SAMPLE BOOK, NOS"
4900,490101,"CATALOGUES, NOS"
4900,490102,"BOOKS AND PRINTED MATERIAL, NOS"
4900,490103,"ENCYCLOPEDIAS, NOS"
4900,490104,"BOOKS, NOS;"
4900,490105,ADDRESS BOOKS NOS;
4900,490106,"AGENDAS, NOS;"
4900,490107,"PLANNER, NOS;"
4900,490500,"GEOGRAPHICAL GLOBES, NOS"
4900,492450,"CELLULOSE MULCH ,NOS;"
5000,500000,"SILK, NOS"
5000,500700,"FABRIC PIECE GOODS, NOS"
5000,500701,"SILK, FABRICS AND YARNS; NOS"
5100,510000,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR, YARN AND WOOL FABRIC; NOS"
5100,510001,"MOHAIR, TEXTILE, NOS"
5100,510002,"WOOL FABRIC, NOS"
5100,510003,"CARPET BACKING, CARPET YARN, GEO TEXTILE FABRIC; NOS"
5100,510300,"WOOL WASTE, NOS"
5100,510301,"SYNTHETIC YARN, NOS;"
5100,510302,"WOVENWARE, NOS;"
5200,520000,"RAW COTTON & COTTON PIECE GOODS, NOS"
5200,520001,"COTTON DENIM, IN ROLLS, NOS"
5200,520002,"FABRICS, RAW COTTON FABRIC, NOS"
5200,520003,"COTTON FABRIC, NOS"
5200,520004,"COTTON PADS, NOS"
5200,520005,"RAW COTTON, NOS"
5200,520006,"COTTON SWABS, NOS"
5200,520007,"COTTON MADE-UPS, NOS"
5200,520008,"THREAD OR YARD OF COTTON, NOS"
5200,520100,"RAW COTTON IN BALES, NOS"
5200,520201,"YARN SCRAP, NOS"
5200,520700,"COTTON YARN, NOS"
5200,520900,"DENIM FABRICS, COTTON, BLEACHED OR COLORED, NOS"
5200,521200,FLANNEL AND FLEECE; NOS
5200,521201,"WOVEN FABRICS, NOS"
5200,521202,COTTON SCRAP FABRIC; NOS
5200,521203,"COTTON FABRIC PIECE GOODS, IN ROLLS, NOS"
5200,521205,"COTTON PIECE GOODS, NOS;"
5200,521206,"COTTON FLAMEL SHEETS, NOS"
5200,521208,"FABRIC IN ROLLS, NOS"
5300,530000,TEXTILE FIBERS AND YARNS; NOS
5300,530001,"GUNNIES, NOS"
5300,530002,"ABACA HEMP FIBERS, NOS"
5300,530003,"FLAX, NOS;"
5300,530004,"SISAL, NOS"
5300,530500,"COCONUT COIR FIBER, NOS"
5300,530700,"JUTE YARN, NOS"
5300,531000,"JUTE, NOS:"
5300,531001,"COTTON WASTE, CUTTING SCRAP, GREY CLOTH, WIPING CLOTH; NOS"
5400,540000,"MAN-MADE FILAMENTS, NOS"
5400,540001,"POLYESTER YARN,  NOS;"
5400,540002,"FIBERS, NOS"
5400,540003,"FABRIC, FOR SPEAKER COVER, NOS"
5400,540004,"NYLON SPONGE, NOS"
5400,540005,"SYNTHETIC FABRIC, NOS"
5400,540006,POLYESTER FABRIC; NOS
5400,540007,"POLYESTER SPIN DRAW YARN, NOS"
5400,540008,"ACETATE, FLAKE OR TOW; NOS"
5400,540009,"GARMENTS, NOS;"
5400,540011,"DISPOSABLE GARMENTS, NOS;"
5400,540012,"UNIFORMS, NOS;"
5400,540200,"YARN, NYLON, NOS"
5400,540600,"WOVEN YARN FABRICS, MANMADE FILIMENTS; NOS"
5400,540700,"POLYESTER WOVEN FABRIC, NOS"
5400,540701,"YARNS, MAN-MADE FIBERS, NOS: TENCEL FIBER, NOS"
5500,550000,MAN-MADE STAPLE FIBERS
5500,550001,"100% POLYESTER TAFFETAS, NOS"
5500,550002,"POLYESTER FIBERS, POLYESTER FILAMENT YARN; NOS"
5500,550003,"FIBERS, NOS"
5500,550004,FIBERS YARNS; NOS
5500,550006,"ACRYLIC FIBER, NOS"
5500,550007,"SYNTHETIC FIBERS, NOS"
5500,550100,"POLYESTER HANDBAGS, NOS"
5500,550101,"POLYESTER FIBERS, NOS"
5500,550102,"POLYESTER STAPLE FIBERS, NOS"
5500,550103,"POLYESTER FIBER WASTE SCRAP, NOS"
