,hs6,naics
1311,712204,311423
1312,712311,311423
1313,712312,311423
1314,712320,311423
1315,712330,311423
1316,712391,311423
1317,712392,311423
1318,712394,311423
1319,712901,311423
1321,712902,311423
1322,712903,311423
1323,712904,311942
1324,712904,311423
1325,712906,311423
1327,280440,325120
1328,712907,311423
1329,712907,311211
1331,712908,311423
1335,712908,111219
1337,713101,111130
1338,713102,111130
1339,713104,111130
1345,713201,111130
1346,713202,111130
1348,713311,111130
1349,713312,111130
1350,713314,111130
1351,714904,311411
1352,713321,111130
1353,713322,111130
1354,713331,111130
1356,713332,111130
1360,713334,111130
1362,802410,111335
1365,713341,111130
1366,713342,111130
1367,713344,111130
1368,713350,111130
1369,713391,111130
1371,713392,111130
1378,713394,111130
1382,806202,311423
1386,713401,111130
1387,713402,111130
1392,713501,111130
1393,713502,111130
1394,713601,111130
1395,713606,111130
1396,802420,111335
1397,713608,111130
1398,713901,111130
1399,713905,111130
1400,713906,111130
1401,713908,111130
1402,714101,111130
1403,714102,111998
1404,714201,311411
1405,714202,111211
1406,714301,111211
1407,714302,311411
1408,714305,311423
1409,714306,311423
1410,714401,111219
1411,714402,311411
1412,714405,311423
1413,714406,311423
1414,714501,111219
1415,714502,311411
1416,714505,311423
1417,714506,311423
1418,714900,111219
1419,714901,111998
1420,714903,111219
1424,714904,311423
1425,714905,311423
1426,714906,311423
1427,801110,311999
1428,801120,111335
1429,801190,111335
1431,801210,111335
1432,801220,111335
1433,801310,111335
1434,801320,111335
1435,802110,111335
1436,802120,111335
1438,802210,111335
1439,802220,111335
1440,802310,111335
1441,802510,111335
1442,802520,111335
1443,802610,111335
1444,802620,111335
1445,802701,111335
1446,802702,111335
1447,802801,111335
1448,802802,111335
1449,802901,111335
1451,802902,111335
1453,802908,111335
1454,802909,111335
1455,803101,111339
1456,803102,311423
1457,803900,111339
1459,803900,311423
1460,804102,111339
1461,804104,111339
1462,804106,111339
1463,804108,111339
1464,804204,111339
1465,804206,111339
1466,804208,111339
1467,804302,111339
1468,804304,111339
1469,804306,111339
1470,804400,111339
1473,804504,111339
1476,804506,111339
1479,804508,311423
1481,805100,111310
1483,805200,111320
1486,805404,111320
1487,805406,111320
1488,805408,111320
1489,805502,111320
1490,805503,111320
1491,805504,111320
1492,805900,111320
1493,806102,111332
1494,806104,111332
1495,806106,111332
1496,806201,311423
1499,806209,311423
1500,807113,111219
1502,807114,111219
1504,807191,111219
1505,807192,111219
1506,807195,111219
1507,807196,111219
1508,807197,111219
1509,807198,111219
1510,807200,111339
1511,808100,111331
1514,808302,111339
1516,808304,111339
1518,808402,111339
1520,808404,111339
1522,809100,111339
1523,809210,111339
1524,809290,111339
1525,809302,111339
1526,809304,111339
1528,809402,111339
1529,809404,111339
1530,810102,111333
1531,810104,111333
1532,810201,111334
1534,810209,111334
1537,810300,111334
1538,810400,111334
1543,810500,111339
1544,810600,111339
1545,810700,111339
1546,810902,111339
1547,810902,111334
1548,810904,111339
1549,811100,311411
1553,811202,311411
1556,811204,311411
1558,811901,311411
1559,100829,111199
1560,811902,311411
1564,811903,311411
1566,904227,311942
1567,811904,311411
1568,811905,311411
1571,811908,311411
1574,812100,311421
1575,812901,311421
1576,812902,311421
1577,812903,311421
1578,812904,311421
1579,812905,311421
1580,812909,311421
1581,813100,311423
1582,813201,311423
1583,813202,311423
1584,813300,311423
1585,813401,311423
1587,813402,311423
1590,813403,311423
1591,813404,311423
1592,813408,311423
1593,813409,311423
1594,813500,311423
1595,813500,111335
1597,814001,311423
1598,814004,311423
1599,814008,311423
1600,901110,111339
1604,901120,311920
1605,160412,311710
1607,901210,311920
1611,901220,311920
1614,901901,910000
1615,901902,311920
1616,902101,311920
1618,902109,311920
1620,902201,311920
1621,902209,311920
1623,902300,311920
1626,902400,311920
1627,903000,311920
1628,904110,311942
1630,904120,311942
1631,904212,311942
1632,904214,311942
1633,904216,311942
1636,904218,311942
1637,904222,311942
1638,904224,311942
1641,904228,311942
1642,905100,111339
1643,906110,111998
1644,906190,111998
1645,906200,311942
1646,907100,311942
1647,907200,311942
1648,908110,311942
1649,908120,311942
1650,908210,311942
1651,908222,311942
1652,908224,311942
1653,908310,311942
1654,908320,311942
1655,909210,311942
1656,909220,311942
1657,909310,311942
1658,909320,311942
1659,909610,311942
1660,909620,311942
1661,910110,311942
1663,910120,311942
1664,910200,311942
1665,910300,311942
1666,910910,311942
1667,910990,111998
1668,910990,311942
1670,910991,311942
1671,910992,111998
1672,910994,311942
1673,910995,311942
1674,910996,311942
1675,100111,111140
1676,100119,111140
1680,100191,111140
1681,100199,111140
1683,100830,111199
1694,100210,111199
1696,100290,111199
1697,100310,111199
1698,100390,111199
1702,100410,111199
1703,100490,111199
1704,100510,111150
1706,100590,111150
1708,100590,311999
1710,100610,111160
1711,100620,311212
1716,100630,311212
1723,100640,311212
1724,100710,111199
1725,100790,111199
1726,100810,111199
1727,100821,111199
1728,100840,111199
1729,100850,111199
1730,100860,111199
1731,100890,111199
1733,110100,311211
1737,110220,311211
1738,110290,311211
1739,110290,311212
1743,110311,311211
1745,110313,311211
1747,110319,311211
1748,110319,311212
1750,110320,311211
1752,110412,311211
1753,110419,311211
1755,110422,311211
1756,110423,311211
1757,110429,311211
1759,110430,311211
1760,110510,311211
1761,110520,311423
1762,110610,311211
1763,110620,311211
1765,110630,311211
1767,110720,311213
1768,110811,311221
1770,110812,311221
1772,110813,311221
1774,110814,311221
1775,110819,311221
1777,110820,311221
1778,280450,325120
1779,110900,311211
1781,120110,111110
1782,120190,111110
1785,120230,111992
1788,120241,111992
1794,120242,111992
1800,120300,111335
1801,120400,111120
1805,120510,111120
1808,120590,111120
1811,120600,111120
1814,120929,111998
1817,120710,111335
1818,120721,111920
1819,120729,111920
1820,120730,111120
1821,120740,111120
1822,120750,111120
1823,120760,111120
1824,120770,111219
1827,120791,111120
1828,120799,111120
1829,120799,111335
1831,120810,311224
1832,120890,311224
1833,120910,111991
1834,120921,111998
1836,120922,111998
1843,120923,111998
1848,120924,111998
1849,120925,111998
1851,120929,111219
1859,280450,331410
1866,120930,111422
1868,120991,111219
1890,120999,111421
1891,120999,111910
1893,121010,111998
1894,121020,111998
1896,121120,111998
1897,121120,113210
1898,121130,111998
1899,121140,111998
1900,121190,111998
1901,121190,311920
1904,130220,311999
1911,121221,114119
1912,121229,114119
1913,121291,111991
1914,121292,111998
1915,121293,111930
1916,121294,111998
1917,121299,111339
1919,121299,111998
1920,121300,111998
1921,121410,311119
1926,121490,111940
1930,121490,111998
1931,130120,113210
1932,130190,113210
1939,130211,113210
1940,130212,113210
1941,130213,311942
1942,130219,113210
1943,130219,325411
1947,130232,311999
1949,130239,311999
1951,140110,113210
1952,140120,113210
1955,140190,113210
1957,140420,311224
1958,140490,113210
1959,140490,111199
1962,140490,111998
1965,150120,311613
1968,150190,311613
1969,150210,311611
1970,150210,311613
1971,150290,311611
1972,150300,311613
1973,150410,114111
1975,150420,114111
1979,150430,114111
1980,150500,313110
1981,150500,325199
1982,150600,311613
1983,150710,311224
1984,150790,311225
1985,282732,325180
1986,150790,311224
1988,150810,311224
1989,150890,311224
1990,150910,311224
1998,150990,311224
2000,151000,311224
2003,151110,311224
2004,151190,311224
2005,151211,311224
2007,151219,311224
2009,151221,311224
2010,151229,311224
2011,151229,311225
2012,151311,311224
2013,151319,311224
2014,151321,311224
2015,151329,311224
2016,151411,311224
2017,151419,311224
2018,160529,311710
2019,151491,311224
2022,151499,311224
2027,151511,311224
2028,151519,311224
2029,151521,311221
2030,151529,311221
2032,151530,311224
2033,151550,311224
2034,151590,311224
2037,151610,311225
2038,151620,311225
2040,151710,311225
2041,151790,311225
2050,160529,114112
2057,151800,311224
2058,151800,311613
2059,152000,325611
2060,152110,325998
2063,152190,325612
2065,152200,325613
2066,160100,311611
2073,160210,311611
2074,160220,311615
2075,160220,311611
2076,160231,311615
2078,160232,311615
2081,160239,311615
2084,160241,311611
2088,160242,311611
2091,160249,311611
2096,160250,311611
2105,160290,311612
2106,160290,311611
2108,160300,311710
2109,160300,311611
2111,160411,311710
2123,160413,311710
2125,250830,212325
2129,160414,311710
2144,160415,311710
2145,160416,311710
2148,160417,311710
2149,160417,114111
2153,160419,311710
2157,160419,114111
2159,250840,212325
2162,160420,311710
2168,160420,114111
2173,160431,311710
2174,160432,311710
2176,160510,311710
2185,160510,114112
2195,160521,114111
2196,160521,114112
2198,160521,311710
2199,200870,311421
2201,160530,311710
2203,160530,114112
2207,160540,311710
2210,160551,311710
2213,160552,311710
2215,160553,311710
2217,160554,311710
2221,160555,311710
2223,160556,311710
2229,160557,311710
2231,160558,311710
2233,160559,311710
2235,160561,311710
2236,160562,311710
2237,160563,311710
2238,160569,311710
2239,170112,31131X
2240,170199,31131X
2243,170113,31131X
2247,170114,31131X
2251,170191,31131X
2256,170490,311340
2270,170211,311514
2271,170219,311514
2272,170220,111998
2279,170230,311221
2284,170240,311221
2288,170250,311221
2289,170260,311221
2294,170290,31131X
2301,230990,311119
2306,170310,31131X
2308,170390,31131X
2310,170410,311340
2322,180100,111335
2323,180200,111335
2324,180310,31135X
2325,180320,31135X
2326,180400,31135X
2327,180500,31135X
2328,180610,31135X
2342,180620,31135X
2372,180631,31135X
2375,180632,31135X
2388,180690,31135X
2394,250620,212311
2408,190110,311514
2420,190120,311824
2424,190532,31181X
2437,190190,311942
2439,190190,311999
2440,190190,311514
2442,190190,311513
2455,190520,31181X
2462,190211,311824
2466,190211,311999
2467,190219,311824
2471,190219,311999
2472,190220,311422
2473,190220,311412
2474,190220,311999
2475,190230,311422
2476,190230,311412
2477,190240,311824
2478,190300,311221
2480,190410,311230
2482,190420,311230
2484,190430,311230
2485,190490,311230
2487,190510,31181X
2488,190531,31181X
2494,190540,31181X
2495,190590,31181X
2500,190590,311919
2501,190590,311412
2503,200110,311421
2504,200190,311421
2517,200210,311421
2519,200290,311423
2520,200290,311421
2525,200310,311421
2532,200390,311421
2535,200410,311411
2538,200490,311411
2544,200510,311422
2545,200520,311919
2546,200520,311423
2547,200520,311421
2548,200540,311421
2549,200551,311422
2550,200551,311421
2553,200559,311421
2554,200560,311421
2555,200570,311421
2562,200860,311421
2587,200580,311421
2588,200591,311421
2590,200599,311421
2603,200600,311340
2610,200710,311422
2611,200791,311421
2630,200811,311911
2639,200819,311911
2641,200819,311999
2651,200820,311421
2653,200830,311340
2656,200830,311421
2670,200840,311421
2672,200850,311421
2676,280130,325180
2679,200880,311421
2680,200891,311421
2681,200893,311421
2682,200897,311230
2683,200897,311421
2690,200899,311421
2711,200899,311411
2717,200911,311411
2720,200912,311421
2722,200919,311421
2723,200921,311421
2724,200921,311411
2726,200929,311411
2727,200929,311421
2728,200931,311421
2731,200931,311411
2736,200939,311421
2738,200939,311411
2741,200941,311421
2742,200941,311411
2744,200949,311421
2745,200949,311411
2747,200950,311421
2749,200961,311421
2750,200961,311411
2752,200969,311411
2753,200969,311421
2754,200971,311421
2755,200979,311411
2756,200979,311421
2757,200981,311421
2758,200989,311421
2769,200990,311421
2771,210111,311920
2777,210112,311920
2785,210120,311920
2794,210130,311920
2795,210210,311999
2796,210220,311999
2799,210230,311999
2800,210310,311941
2801,210320,311421
2804,210330,311211
2805,210330,311941
2806,210390,311941
2807,210390,311999
2808,210390,311942
2814,210390,311421
2817,210410,311999
2818,210410,311710
2819,210410,311422
2820,210420,311422
2821,210500,311520
2828,210610,311224
2829,282735,325180
2830,220190,312113
2831,210690,311514
2834,210690,312140
2837,210690,311225
2845,210690,325412
2846,210690,311999
2849,210690,311411
2875,210690,311930
2880,210690,311340
2881,210690,311920
2887,220110,312112
2888,220210,312111
2891,220290,311511
2895,220290,311421
2899,220290,312120
2900,220290,312111
2901,220300,312120
2904,220410,312130
2907,220421,312130
2917,220820,312130
2922,220429,312130
2931,220430,312130
2932,220510,312130
2934,220590,312130
2937,220600,312130
2941,220710,312140
2942,220710,325193
2944,220720,325193
2951,220830,312140
2959,220840,312140
2963,220850,312140
2965,220860,312140
2968,220870,312140
2970,220890,312140
2973,220890,312130
2989,220900,311941
2990,230110,311613
2991,230120,114111
2993,230210,311211
2994,230230,311211
2996,230240,311212
2997,280300,325180
2998,230240,311211
3001,230250,311211
3002,230310,311221
3005,230320,31131X
3007,230330,312120
3008,230400,311224
3009,230500,311224
3010,230610,311224
3011,230620,311224
3012,230630,311224
3013,230641,311224
3014,230649,311224
3015,230650,311224
3016,230660,311224
3017,230690,311221
3018,230690,311224
3020,230700,312130
3021,230800,113210
3022,230800,311224
3023,230800,311119
3024,230800,311423
3026,230910,311111
3042,252620,327992
3049,240110,111910
3069,240120,111910
3091,250700,212324
3132,240130,111910
3155,250810,212325
3183,250300,212393
3189,240210,312230
3195,240220,312230
3198,240290,312230
3199,240311,312230
3200,240319,312230
3215,240391,312230
3228,240399,312230
3243,250100,212393
3244,250200,212393
3245,250300,325180
3246,250410,327992
3248,250490,212399
3249,250510,212322
3251,250590,212322
3252,250610,212311
3256,250850,212325
3257,250860,212325
3258,250870,212325
3259,250900,212312
3261,251010,212392
3262,251020,212392
3263,251110,325130
3264,251110,212393
3265,251120,212393
3266,251200,212399
3267,251310,212399
3268,251310,327910
3269,251320,212399
3270,251320,327910
3271,251400,212311
3272,251511,212311
3273,251512,212311
3275,251520,212311
3276,251611,212311
3277,251612,212311
3279,251620,212311
3281,251690,212311
3283,251710,212321
3284,251710,212319
3286,251720,324121
3287,251730,324121
3288,251741,212319
3289,251749,212319
3290,251810,212311
3291,251820,327410
3292,251830,327992
3293,251910,212325
3294,251990,327992
3297,252010,212399
3298,252020,327420
3299,252100,212319
3300,252210,327410
3301,252220,327410
3302,252230,327410
3303,252310,327310
3304,252321,327310
3305,252329,327310
3306,252330,327310
3307,252390,327310
3308,252410,212399
3309,252490,212399
3315,252510,212399
3316,252510,327999
3318,252520,327992
3319,252530,910000
3320,252610,212399
3321,252800,212391
3324,252910,212325
3325,252921,212393
3326,252922,212393
3327,252930,212325
3329,253010,212399
3330,253020,212391
3332,253090,212399
3334,253090,212393
3337,260111,212210
3340,260112,212210
3343,260120,331110
3344,260200,212299
3346,260300,212234
3351,260400,212234
3353,260500,212299
3354,260600,212299
3357,260700,212231
3362,260800,212231
3367,260900,212299
3368,261000,212299
3371,261100,212299
3373,261210,212291
3374,261220,212299
3375,261310,212299
3376,261390,212299
3377,261400,212299
3380,261510,212299
3381,261590,212299
3384,261590,212291
3385,261610,212222
3390,261690,212221
3393,280410,325120
3396,261710,212299
3397,261790,212299
3399,261800,331110
3400,261900,331110
3402,262011,331410
3403,262019,331410
3405,271012,324110
3410,262021,331410
3415,262029,331410
3420,262030,331410
3425,262040,331410
3427,262060,325199
3428,262060,910000
3429,262091,910000
3430,280421,325120
3431,262099,331410
3437,270900,211111
3440,262099,910000
3441,262110,910000
3442,262190,910000
3443,270111,212113
3444,270112,212112
3446,270119,212112
3447,270120,324199
3448,270210,212111
3449,270220,212111
3450,270300,212399
3451,270400,331110
3454,270500,331110
3455,270600,331110
3456,270710,325194
3457,270720,325194
3458,270730,325194
3462,270740,325194
3463,270750,325194
3464,270791,325194
3465,270799,325194
3471,270799,324110
3472,270799,324199
3473,270810,325194
3474,270820,325194
3476,270900,211112
3487,271019,324110
3503,280200,325180
3524,271020,324110
3536,271312,324110
3543,271091,324110
3544,271099,324110
3553,271111,211112
3554,271112,211112
3556,271113,211112
3558,271114,325110
3562,271119,211112
3564,271121,211111
3565,271129,211112
3570,271210,324110
3571,271220,324110
3572,271290,324110
3574,271311,324110
3575,271390,324110
3576,271410,211111
3577,271490,212399
3578,271500,324121
3579,271600,990000
3580,280120,325180
3582,280461,331410
3583,280469,331410
3585,280470,325180
3586,280480,325180
3587,280490,331410
3588,280511,325180
3589,280512,325180
3590,280519,325180
3593,280530,325180
3599,280540,325180
3600,280610,325180
3601,280620,325180
3602,280700,325180
3603,280800,325311
3604,280800,325180
3605,280910,325180
3606,280920,325312
3610,281000,325180
3611,281111,325180
3612,281122,325180
3614,281129,325180
3618,281210,325180
3622,281290,325180
3623,281310,325180
3624,281390,325180
3627,281410,325311
3628,281420,325311
3629,281511,325180
3630,281512,325180
3631,281520,325180
3632,282739,325180
3634,281530,325180
3635,281610,325180
3636,281640,325180
3638,281700,325180
3639,281810,327910
3642,281820,331313
3643,281830,325180
3644,281910,325180
3645,281990,325180
3646,282010,325180
3647,282090,325180
3648,282110,325130
3652,282110,325180
3653,282120,325130
